[2019-02-01 15:52:19.137] [renderer1] [info] no standard startup: not the explorer viewlet
[2019-02-01 15:57:28.530] [renderer1] [warning] Unsupported write (store) access after close (key: lifecyle.lastShutdownReason)
[2019-02-01 15:57:28.530] [renderer1] [warning] Unsupported write (store) access after close (key: editorFontInfo)
[2019-02-01 15:57:28.531] [renderer1] [warning] Unsupported write (store) access after close (key: workbench.activity.placeholderViewlets)
[2019-02-01 15:57:28.531] [renderer1] [warning] Unsupported write (store) access after close (key: memento/workbench.parts.editor)
[2019-02-01 15:57:28.532] [renderer1] [warning] Unsupported write (remove) access after close (key: memento/workbench.parts.editor)
[2019-02-01 15:57:28.532] [renderer1] [warning] Unsupported write (store) access after close (key: history.entries)
[2019-02-01 15:57:28.532] [renderer1] [warning] Unsupported write (store) access after close (key: output.activechannel)
[2019-02-01 15:57:28.532] [renderer1] [warning] Unsupported write (remove) access after close (key: workbench.zenmode.active)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (store) access after close (key: memento/workbench.editors.textResourceEditor)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (store) access after close (key: debug.selectedconfigname)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (remove) access after close (key: debug.breakpoint)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (remove) access after close (key: debug.breakpointactivated)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (remove) access after close (key: debug.functionbreakpoint)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (remove) access after close (key: debug.exceptionbreakpoint)
[2019-02-01 15:57:28.533] [renderer1] [warning] Unsupported write (remove) access after close (key: debug.watchexpressions)
[2019-02-01 15:57:28.534] [renderer1] [warning] Unsupported write (store) access after close (key: memento/workbench.panel.output)
[2019-02-01 15:57:28.534] [renderer1] [warning] Unsupported write (store) access after close (key: suggest/memories/recentlyUsed)
[2019-02-01 15:57:28.534] [renderer1] [warning] Unsupported write (store) access after close (key: suggest/memories/recentlyUsed)
